track_name,track_popularity,playlist_genre,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,track_album_release_year,track_album_release_month
I Don't Care (with Justin Bieber) - Loud Luxury Remix,66,pop,0.748,0.916,0.0583,0.102,0.0,0.0653,0.518,194754,2019,6
Memories - Dillon Francis Remix,67,pop,0.726,0.815,0.0373,0.0724,0.00421,0.357,0.693,162600,2019,12
All the Time - Don Diablo Remix,70,pop,0.675,0.931,0.0742,0.0794,2.33e-05,0.11,0.613,176616,2019,7
Call You Mine - Keanu Silva Remix,60,pop,0.718,0.93,0.102,0.0287,9.43e-06,0.204,0.277,169093,2019,7
Someone You Loved - Future Humans Remix,69,pop,0.65,0.833,0.0359,0.0803,0.0,0.0833,0.725,189052,2019,3
Beautiful People (feat. Khalid) - Jack Wins Remix,67,pop,0.675,0.919,0.127,0.0799,0.0,0.143,0.585,163049,2019,7
Never Really Over - R3HAB Remix,62,pop,0.449,0.856,0.0623,0.187,0.0,0.176,0.152,187675,2019,7
Post Malone (feat. RANI) - GATTÜSO Remix,69,pop,0.542,0.903,0.0434,0.0335,4.83e-06,0.111,0.367,207619,2019,8
Tough Love - Tiësto Remix / Radio Edit,68,pop,0.594,0.935,0.0565,0.0249,3.97e-06,0.637,0.366,193187,2019,6
If I Can't Have You - Gryffin Remix,67,pop,0.642,0.818,0.032,0.0567,0.0,0.0919,0.59,253040,2019,6
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,58,pop,0.679,0.923,0.181,0.146,4.92e-06,0.124,0.752,207894,2019,6
Hate Me - R3HAB Remix,67,pop,0.437,0.774,0.0554,0.148,0.0,0.133,0.329,203733,2019,8
Body On My,67,pop,0.744,0.726,0.0463,0.0399,0.0,0.374,0.687,192507,2019,3
SOS - Laidback Luke Tribute Remix / Radio Edit,68,pop,0.572,0.915,0.0625,0.0111,0.0,0.339,0.678,164516,2019,5
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,63,pop,0.69,0.78,0.0594,0.00733,0.00183,0.0729,0.238,255238,2019,7
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,66,pop,0.805,0.835,0.0896,0.13,5.03e-06,0.365,0.722,188230,2019,12
All My Friends - Eden Prince Remix,60,pop,0.694,0.901,0.0948,0.0702,0.0,0.427,0.368,173548,2019,5
Dancing With A Stranger (With Normani) - Cheat Codes Remix,69,pop,0.746,0.557,0.0542,0.103,0.0036,0.138,0.324,159404,2019,3
Let It Be Me - Sondr Remix,35,pop,0.467,0.821,0.0934,0.00791,0.000441,0.131,0.232,185366,2019,10
Heaven - David Guetta & MORTEN Remix,70,pop,0.572,0.934,0.0446,0.00292,0.0198,0.105,0.204,215238,2019,8
All Around The World (La La La) - Marnik Remix,64,pop,0.708,0.913,0.0348,0.089,0.081,0.113,0.707,170667,2019,8
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,62,pop,0.684,0.818,0.128,0.0469,3.39e-06,0.119,0.336,210968,2019,5
Slow Dance (feat. Ava Max) - Sam Feldt Remix,70,pop,0.732,0.85,0.0444,0.114,2.02e-06,0.0388,0.372,193548,2019,10
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,pop,0.62,0.889,0.0352,0.0163,1.86e-05,0.395,0.422,205093,2019,5
Hold Me While You Wait - Steve Void Remix,63,pop,0.675,0.76,0.0434,0.104,0.0,0.33,0.468,172800,2019,6
One Thing Right - Firebeatz Remix,66,pop,0.682,0.851,0.0363,0.0146,0.000834,0.0289,0.348,192381,2019,8
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,8,pop,0.663,0.905,0.0511,0.0325,0.0,0.333,0.397,175000,2019,2
So Am I - Toby Green Remix,62,pop,0.625,0.938,0.0517,0.00432,0.00026,0.0923,0.371,166875,2019,5
When You Leave - Breathe Carolina Remix,30,pop,0.679,0.909,0.105,0.0334,0.0,0.269,0.819,155080,2019,4
Mother - Fedde Le Grand Remix,56,pop,0.641,0.869,0.0423,0.0319,0.00131,0.403,0.358,178125,2019,11
Torn - KREAM Remix,60,pop,0.742,0.864,0.0976,0.00141,0.00467,0.241,0.727,169935,2019,9
Quite Miss Home - Steve Void Remix,60,pop,0.716,0.815,0.0533,0.108,0.0,0.163,0.351,220413,2019,11
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,55,pop,0.748,0.831,0.115,0.0823,7.36e-05,0.0757,0.894,185273,2019,6
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],67,pop,0.563,0.81,0.0522,0.00522,0.0,0.0846,0.495,247385,2019,7
Paradise - Bazzi vs. Black Caviar Remix,55,pop,0.728,0.815,0.046,0.00223,0.000317,0.101,0.681,218015,2019,6
White Mercedes - EDX's Miami Sunset Remix,56,pop,0.846,0.773,0.0473,0.0141,2.23e-05,0.204,0.586,200444,2019,10
Higher Love,87,pop,0.693,0.678,0.0324,0.0154,6.05e-06,0.101,0.404,228267,2019,6
Unlove You,62,pop,0.678,0.928,0.0597,0.0303,3.33e-05,0.143,0.663,150160,2019,10
bad guy (with Justin Bieber),83,pop,0.67,0.453,0.295,0.252,0.33,0.117,0.68,194840,2019,7
Freaking Me Out - Keanu Silva Remix,55,pop,0.755,0.931,0.0606,0.132,0.0271,0.0854,0.288,177466,2019,11
