track_name,track_popularity,playlist_genre,duration_ms,track_album_release_year,track_album_release_month,feature,value
I Don't Care (with Justin Bieber) - Loud Luxury Remix,66,pop,194754,2019,6,danceability,0.748
Memories - Dillon Francis Remix,67,pop,162600,2019,12,danceability,0.726
All the Time - Don Diablo Remix,70,pop,176616,2019,7,danceability,0.675
Call You Mine - Keanu Silva Remix,60,pop,169093,2019,7,danceability,0.718
Someone You Loved - Future Humans Remix,69,pop,189052,2019,3,danceability,0.65
Beautiful People (feat. Khalid) - Jack Wins Remix,67,pop,163049,2019,7,danceability,0.675
Never Really Over - R3HAB Remix,62,pop,187675,2019,7,danceability,0.449
Post Malone (feat. RANI) - GATTÜSO Remix,69,pop,207619,2019,8,danceability,0.542
Tough Love - Tiësto Remix / Radio Edit,68,pop,193187,2019,6,danceability,0.594
If I Can't Have You - Gryffin Remix,67,pop,253040,2019,6,danceability,0.642
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,58,pop,207894,2019,6,danceability,0.679
Hate Me - R3HAB Remix,67,pop,203733,2019,8,danceability,0.437
Body On My,67,pop,192507,2019,3,danceability,0.744
SOS - Laidback Luke Tribute Remix / Radio Edit,68,pop,164516,2019,5,danceability,0.572
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,63,pop,255238,2019,7,danceability,0.69
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,66,pop,188230,2019,12,danceability,0.805
All My Friends - Eden Prince Remix,60,pop,173548,2019,5,danceability,0.694
Dancing With A Stranger (With Normani) - Cheat Codes Remix,69,pop,159404,2019,3,danceability,0.746
Let It Be Me - Sondr Remix,35,pop,185366,2019,10,danceability,0.467
Heaven - David Guetta & MORTEN Remix,70,pop,215238,2019,8,danceability,0.572
All Around The World (La La La) - Marnik Remix,64,pop,170667,2019,8,danceability,0.708
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,62,pop,210968,2019,5,danceability,0.684
Slow Dance (feat. Ava Max) - Sam Feldt Remix,70,pop,193548,2019,10,danceability,0.732
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,pop,205093,2019,5,danceability,0.62
Hold Me While You Wait - Steve Void Remix,63,pop,172800,2019,6,danceability,0.675
One Thing Right - Firebeatz Remix,66,pop,192381,2019,8,danceability,0.682
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,8,pop,175000,2019,2,danceability,0.663
So Am I - Toby Green Remix,62,pop,166875,2019,5,danceability,0.625
When You Leave - Breathe Carolina Remix,30,pop,155080,2019,4,danceability,0.679
Mother - Fedde Le Grand Remix,56,pop,178125,2019,11,danceability,0.641
Torn - KREAM Remix,60,pop,169935,2019,9,danceability,0.742
Quite Miss Home - Steve Void Remix,60,pop,220413,2019,11,danceability,0.716
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,55,pop,185273,2019,6,danceability,0.748
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],67,pop,247385,2019,7,danceability,0.563
Paradise - Bazzi vs. Black Caviar Remix,55,pop,218015,2019,6,danceability,0.728
White Mercedes - EDX's Miami Sunset Remix,56,pop,200444,2019,10,danceability,0.846
Higher Love,87,pop,228267,2019,6,danceability,0.693
Unlove You,62,pop,150160,2019,10,danceability,0.678
bad guy (with Justin Bieber),83,pop,194840,2019,7,danceability,0.67
Freaking Me Out - Keanu Silva Remix,55,pop,177466,2019,11,danceability,0.755
Heaven Can Wait - The Aston Shuffle Remix,61,pop,218373,2019,5,danceability,0.622
When It Comes To You - Benny Benassi & BB Team Remix,56,pop,144073,2019,10,danceability,0.789
Gone - The Wild Remix,57,pop,193861,2019,8,danceability,0.64
American Boy - Brooks Remix,56,pop,200625,2019,6,danceability,0.609
Million Pieces - M-22 Remix,53,pop,166237,2019,9,danceability,0.64
joy. (R3HAB Remix),56,pop,171500,2019,1,danceability,0.75
Crash Into Me - Settle Down Steavis Aoki Remix,34,pop,266719,2019,11,danceability,0.535
Old Town Road - Diplo Remix,74,pop,204027,2019,4,danceability,0.766
Lovers + Strangers - GATTÜSO Remix,46,pop,203968,2019,11,danceability,0.649
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,55,pop,237686,2019,12,danceability,0.355
What Am I - SONDR Remix,52,pop,180361,2019,11,danceability,0.542
Cool Kids,67,pop,139048,2019,11,danceability,0.735
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,63,pop,279800,2019,8,danceability,0.752
All Star - Breathe Carolina Remix,60,pop,217043,2019,8,danceability,0.748
Trampoline - Dave Audé Remix,45,pop,230476,2019,12,danceability,0.607
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,58,pop,188640,2019,7,danceability,0.607
With You - Dexter Remix,51,pop,196613,2019,9,danceability,0.679
Safety (feat. DJ Snake) - Dark Heart 2am Mix,58,pop,210000,2019,11,danceability,0.714
Talk - Disclosure VIP,60,pop,273229,2019,3,danceability,0.775
Spicy - Majestic Remix,48,pop,255861,2019,10,danceability,0.814
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,56,pop,216714,2019,10,danceability,0.784
Treehouse - R3HAB Remix,56,pop,192653,2019,9,danceability,0.367
Call You Mine,39,pop,217653,2019,5,danceability,0.591
Post Malone (feat. RANI),83,pop,174444,2019,5,danceability,0.59
Here With Me,83,pop,156347,2019,3,danceability,0.791
Easier - Seeb Remix,71,pop,165767,2019,7,danceability,0.564
Sixteen,81,pop,201072,2019,4,danceability,0.669
Never Really Over,85,pop,223523,2019,5,danceability,0.77
All You Need To Know (feat. Calle Lehmann),76,pop,238459,2019,3,danceability,0.513
I Miss Myself (with HRVY),71,pop,191612,2019,5,danceability,0.72
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,65,pop,173455,2019,10,danceability,0.789
Takeaway (feat. Lennon Stella),67,pop,209893,2019,7,danceability,0.294
All the Time,74,pop,228112,2019,6,danceability,0.665
What I Like About You (feat. Theresa Rex),81,pop,220396,2019,3,danceability,0.46
With You,71,pop,180840,2019,6,danceability,0.362
Body Back (feat. Maia Wright),75,pop,214634,2019,10,danceability,0.686
Not Ok,73,pop,210944,2019,5,danceability,0.618
Better With You,63,pop,192941,2019,3,danceability,0.571
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",79,pop,215316,2019,4,danceability,0.591
In Your Arms (with X Ambassadors),75,pop,220730,2019,8,danceability,0.404
I'm Not Alright,55,pop,185062,2019,7,danceability,0.876
SOS,30,pop,157202,2019,4,danceability,0.802
Harder,62,pop,159753,2019,7,danceability,0.906
Wanted,70,pop,160998,2019,9,danceability,0.693
Crash Into Me,37,pop,226093,2019,7,danceability,0.672
Need Your Love (with Noah Kahan),70,pop,205787,2019,10,danceability,0.581
Good Things Fall Apart (with Jon Bellion),74,pop,216668,2019,5,danceability,0.643
Don't Call Me Up,85,pop,178480,2019,1,danceability,0.674
Nostalgic,36,pop,182668,2019,6,danceability,0.691
Let It Be Me,52,pop,224061,2019,9,danceability,0.661
Lovers + Strangers,58,pop,178501,2019,10,danceability,0.653
Sad Song (feat. TINI),72,pop,154024,2019,6,danceability,0.734
Save Me Tonight,63,pop,170079,2019,1,danceability,0.55
No Sleep (feat. Bonn),76,pop,207095,2019,2,danceability,0.44
Endless Summer,56,pop,202072,2019,7,danceability,0.625
Faith (with Dolly Parton) [feat. Mr. Probz],77,pop,186805,2019,10,danceability,0.547
Think About You,71,pop,208567,2019,2,danceability,0.673
Party For One,64,pop,184533,2019,5,danceability,0.699
Ritual,82,pop,198996,2019,5,danceability,0.647
Now That I Found You,5,pop,200318,2019,2,danceability,0.611
All Comes Back To You,72,pop,160312,2019,10,danceability,0.726
Need U,24,pop,219521,2019,8,danceability,0.714
Something Real,65,pop,179531,2019,7,danceability,0.575
TIME,64,pop,166000,2019,3,danceability,0.768
Something About You (with Rudimental),53,pop,203200,2019,8,danceability,0.767
Home (feat. Bonn),72,pop,239067,2019,8,danceability,0.466
Simple (STVW Remix),39,pop,147554,2019,4,danceability,0.434
Sorry,75,pop,188640,2019,4,danceability,0.744
Spicy (with Diplo & Charli XCX),60,pop,157159,2019,5,danceability,0.837
The Upside (feat. Elle King),18,pop,228502,2019,8,danceability,0.514
Million Voices,60,pop,187150,2019,10,danceability,0.466
RITMO (Bad Boys For Life),96,pop,221714,2019,10,danceability,0.721
Turn Me On (feat. Vula),86,pop,208474,2019,9,danceability,0.737
Wish You Well (with Sigala),5,pop,206440,2019,9,danceability,0.67
With You - LöKii Remix,57,pop,231480,2019,9,danceability,0.708
Dive,68,pop,164490,2019,12,danceability,0.654
No Goodbye,65,pop,168547,2019,7,danceability,0.945
Work,58,pop,155238,2019,1,danceability,0.704
Instagram,81,pop,184558,2019,7,danceability,0.765
Butterfly,43,pop,159194,2019,6,danceability,0.627
All The Love You Got,57,pop,165714,2019,12,danceability,0.762
Call You Mine - Asketa & Natan Chaim Remix,58,pop,183653,2019,7,danceability,0.577
Love Is Not Enough,58,pop,202500,2019,12,danceability,0.632
Lose Control,91,pop,168387,2019,10,danceability,0.598
I Wanna Dance,67,pop,184582,2019,7,danceability,0.825
After The Landslide - Club Remix,42,pop,240000,2019,9,danceability,0.63
Midnight Hour with Boys Noize & Ty Dolla $ign,70,pop,198839,2019,8,danceability,0.795
Not in Control,53,pop,179016,2019,12,danceability,0.904
BLUE,75,pop,167859,2019,12,danceability,0.744
Don't Waste My Time,46,pop,154286,2019,11,danceability,0.772
Beat Of My Heart,67,pop,183183,2019,10,danceability,0.706
